,geneSymbol,moduleColor,GSsubtype,p.GSsubtype,MM.turquoise,p.MMturquoise,MM.green,p.MMgreen,MM.yellow,p.MMyellow,MM.grey,p.MMgrey,MM.blue,p.MMblue,MM.pink,p.MMpink,MM.red,p.MMred,MM.black,p.MMblack,MM.brown,p.MMbrown
BTG2,BTG2,turquoise,0.452903171365798,1.62282320898006e-20,0.614733637879236,1.17368665397877e-40,0.395585689484064,1.30612129159595e-15,-0.585575537073012,3.62389814825485e-36,0.0910609916826535,0.0770208178659199,0.0486126266484389,0.345903636457968,0.215557696592935,2.37002133744496e-05,0.488168117265504,4.97054599106724e-24,0.154511523397503,0.00259355482259769,0.204574024809975,6.15849987915172e-05
NEK11,NEK11,turquoise,0.453414988643469,1.45255197732443e-20,0.618428805133152,2.92912507987935e-41,0.374459172080713,4.99715200085217e-14,-0.5270042617062,2.11071922342964e-28,0.0473211175708567,0.358883468397493,-0.12690383746029,0.0135449032771111,0.181822414379603,0.000380888031115524,0.200513816788937,8.65637253636328e-05,0.0787192588107665,0.126567140740494,0.0575181115632258,0.264636239263691
CISD3,CISD3,turquoise,0.455777501828555,8.68697270576832e-21,0.541846953101854,3.15650056717443e-30,0.117599944094514,0.0222091288528881,-0.231560705585513,5.38703561025086e-06,-0.292463113636785,6.85342587747856e-09,-0.241020826278614,2.13164023167429e-06,0.0301134491031215,0.559445241042261,0.0320516261231456,0.534434731521112,0.142354862767673,0.0055599755770255,-0.131683687147877,0.0103797743242071
NFE2L3,NFE2L3,turquoise,-0.455842033030937,8.56536170279282e-21,-0.523340785452668,5.77071966757776e-28,-0.342092027889043,8.12378646846342e-12,0.31344170183205,4.61861969538431e-10,0.294730292745833,5.17353768347399e-09,0.297264762395691,3.76704308171115e-09,0.0719155099195698,0.162903121359482,-0.109040064322485,0.0340665785368271,0.0649806914727624,0.207482766333965,-0.023712143158381,0.645836006699516
STC2,STC2,turquoise,0.456360004904725,7.6480930642783e-21,0.573413301447203,2.00031681404705e-34,0.358279084166801,6.8450141960598e-13,-0.432172621654826,1.23974428336274e-18,0.168621226812803,0.000997928801521491,-0.223619329964419,1.13893760768871e-05,0.199818510417902,9.16990300981964e-05,0.147398254201459,0.00407933068247204,0.0387143467758926,0.452964786635462,0.0474856783764264,0.357212863234438
ARHGAP32,ARHGAP32,turquoise,0.456844572773094,6.87791916517953e-21,0.576105860105379,8.35060420783597e-35,0.557014455636262,3.45085337973058e-32,-0.362662017081771,3.41796716403299e-13,-0.131998363575903,0.0101965216137726,-0.248133079365691,1.03489168609037e-06,0.132045085334112,0.010169559071562,0.120924520653124,0.018678218822328,-0.0961649699440804,0.0617900356028176,-0.0140882576604223,0.784842894904635
SMAD3,SMAD3,turquoise,0.457462158334718,6.00621108727644e-21,0.504742467814779,7.92178893370215e-26,0.467667208589993,6.14526748054234e-22,-0.229939811986445,6.29016062837562e-06,-0.0121546467325909,0.813790108704242,-0.0810236906475102,0.115799891895176,0.280267581239357,2.98274787880761e-08,0.269492201384527,1.03234791733917e-07,0.0866321261259917,0.0925870569101413,0.060946439802261,0.237162465468579
TOM1L1,TOM1L1,turquoise,0.457618056184625,5.80396073626311e-21,0.536475395867786,1.47981982520154e-29,0.49995312416603,2.68142784867817e-25,-0.176875284864732,0.000550831020307161,-0.0922131640160286,0.0733401405961345,-0.297917050870816,3.469933433784e-09,-0.0489386773016817,0.342674481270691,-0.0359232423361897,0.486216363722293,-0.0082797259699833,0.872529850124182,-0.139864882724794,0.00645593948904617
TTYH3,TTYH3,turquoise,-0.457866187326048,5.49580718614029e-21,-0.588494784507127,1.34916873724512e-36,-0.412244710959963,6.10215023916982e-17,0.34729585313421,3.72448262290584e-12,-0.0851363241103506,0.0983798808761158,0.405163282897395,2.29181087427588e-16,-0.137304743645432,0.00750999205008042,0.0355115316863798,0.491230134694712,5.06002409040573e-05,0.999217656029467,0.294286451799456,5.46737760950596e-09
GLI3,GLI3,turquoise,0.459157807816838,4.13416043876947e-21,0.571614931000323,3.56899832135805e-34,0.429012212928962,2.34009553134104e-18,-0.468229576553783,5.40767039768281e-22,0.10798649394728,0.0358447164890371,-0.0633007137808912,0.219498682504539,0.160453405424275,0.00175080488879403,0.285792534559567,1.54540215730896e-08,0.0559119628205879,0.278231385199953,0.29006702381369,9.20050047925249e-09
